UID,title,authors,abstract,keywords,session,pdf_local,ieee_link
posters_sathiyanarayanan_pdf,Visualising E-mail Communication to Improve E-discovery,Mithileysh Sathiyanarayanan| Cagatay Turkay| Jason Dykes,lorem ipsum,posters,posters,posters/sathiyanarayanan.pdf,
posters_schwab_pdf,EasyPZ.js: A Library for Pan and Zoom Visualizations,Michail Schwab| James Tompkin| Jeff Huang| Michelle A. Borkin,lorem ipsum,posters,posters,posters/schwab.pdf,
posters_serrano_pdf,Design and Development of a Dashboard for the Visualization and Assessment of Students Work in a Remote Lab,Vanessa Serrano| Jordi Cuadros| Javier Garcia-Zubia| Unai Hernández-Jayo| Luis Mompó,lorem ipsum,posters,posters,posters/serrano.pdf,
posters_skokan_pdf,Interactive Visual Tools Supporting Effective Health State Understanding of Patient with Comorbidities,Marek Skokan| Jan Hreno,lorem ipsum,posters,posters,posters/skokan.pdf,
posters_slingsby_pdf,Characterising Farms by the Movement of Animals through Them,Aidan Slingsby| Andy Paterson| Mark Rigby| Katherine Grace| Phong Nguyen| Charles Perin| Cagatay Turkay| Dalal Aljasem,lorem ipsum,posters,posters,posters/slingsby.pdf,
posters_spechtenhauser_pdf,Towards a Visual Analytics Pipeline for the Analysis of Recurring Patterns in Time Series Data,Florian Spechtenhauser| Rastislav Hronsky| Torsten Möller| Harald Piringer,lorem ipsum,posters,posters,posters/spechtenhauser.pdf,
posters_spur_pdf,Urban DataSphere: Exploring Immersive Multiview Visualizations in Cities,Maxim Spur| Vincent Tourre,lorem ipsum,posters,posters,posters/spur.pdf,
posters_stuwe_pdf,Visual Analysis of Abnormal Thickness of Intraretinal Layers,Jörg Stüwe| Martin Röhlig| Heidrun Schumann| Ruby Kala Prakasam| Oliver Stachs,lorem ipsum,posters,posters,posters/stuwe.pdf,
posters_suh_pdf,TopoLines: Topological Smoothing for Line Charts,Ashley Suh| Christopher Salgado| Mustafa Hajij| Paul Rosen,lorem ipsum,posters,posters,posters/suh.pdf,
posters_tyagi_pdf,Road Accidents in the UK (Analysis and Visualization),Anjul K. Tyagi| Ayush Kumar| Anshul Gandhi| Klaus Mueller,lorem ipsum,posters,posters,posters/tyagi.pdf,
posters_uslu_pdf,PolyViz—A Visualization System for Special Kind of Multipartite Graphs,Tolga Uslu| Alexander Mehler,lorem ipsum,posters,posters,posters/uslu.pdf,
posters_vosough_pdf,Visualizing the Results of Product Costing Plausibility Checks with Parallel Hierarchies,,lorem ipsum,posters,posters,posters/vosough.pdf,
posters_wang_pdf,Subspace Shapes: Enhancing High-Dimensional Subspace Structures via Ambient Occlusion Shading,Bing Wang| Klaus Mueller,lorem ipsum,posters,posters,posters/wang.pdf,
posters_wannamaker_pdf,Data Embroidery: Exploring Alternative Mediums for Personal Physicalization,Kendra Wannamaker| Lora Oehlberg| Sheelagh Carpendale| Wesley Willett,lorem ipsum,posters,posters,posters/wannamaker.pdf,
posters_waschke_pdf,Evaluation of Guide Wire Proficiency During a Catheter-based Intervention,Johannes Waschke| Katja Isabel Paul| Peter Lanzer| Mario Hlawitschka,lorem ipsum,posters,posters,posters/waschke.pdf,
posters_zeng_pdf,Manual and Automatic Tree Editing with Applications to Microbiome Time-series Data,Zehua Zeng| Niklas Elmqvist| Catherine Plaisant,lorem ipsum,posters,posters,posters/zeng.pdf,
posters_zhang_pdf,Increasing Understanding of Survey Re-Weighting with Visualization,Yufei Zhang| David Borland| David Gotz,lorem ipsum,posters,posters,posters/zhang.pdf,
