title,link,authors
Developing Virtual Reality Visualizations of Dinosaur Track Creation with Scientific Sketching,posters/novotny.pdf,"Johannes Novotny, Joshua Tveite, Morgan L. Turner, Stephen Gatesy, Fritz Drury, Peter Falkingham, David H. Laidlaw"
CerebroVis: Topology- and Constraint-based Network Layout for the Visualization of Cerebrovascular Arteries,posters/pandey.pdf,"Aditeya Pandey, Harsh Shukla, Geoffrey S. Young, Lei Qin, Cody Dunne, Michelle A. Borkin"
GitHub Viz: An Interactive Visualization to Acquire Knowledge from Authoritative Developers,posters/park.pdf,"Chanhee Park, Sungjun Do, Eunjeong Lee, Hanna Jang, Sungchan Jeong, Hyunwoo Han, Kyungwon Lee"
Toward an Analysis of Practitioner-Oriented Resources for Visualization Design,posters/parsons.pdf,"Paul Parsons, Ya-Hsin Hung, Ali Baigelenov"
The Symmetry of My Life II,posters/perin.pdf,Charles Perin
Personal Patient-Generated Data Visualizations for Diabetes Patients,posters/rajabiyazdi.pdf,"Fateme Rajabiyazdi, Charles Perin, Lora Oehlberg, Sheelagh Carpendale"
The Voronoi Projection,posters/riviere.pdf,Philippe Rivière
Composer: Visual Cohort Analysis of Patient Outcomes,posters/rogers.pdf,"Jennifer Rogers, Nicholas Spina, Ashley Neese, Rachel Hess, Darrel Brodke, Alexander Lex"
Visualising E-mail Communication to Improve E-discovery,posters/sathiyanarayanan.pdf,"Mithileysh Sathiyanarayanan, Cagatay Turkay, Jason Dykes"
EasyPZ.js: A Library for Pan and Zoom Visualizations,posters/schwab.pdf,"Michail Schwab, James Tompkin, Jeff Huang, Michelle A. Borkin"
Design and Development of a Dashboard for the Visualization and Assessment of Students Work in a Remote Lab,posters/serrano.pdf,"Vanessa Serrano, Jordi Cuadros, Javier Garcia-Zubia, Unai Hernández-Jayo, Luis Mompó"
Interactive Visual Tools Supporting Effective Health State Understanding of Patient with Comorbidities,posters/skokan.pdf,"Marek Skokan, Jan Hreno"
Characterising Farms by the Movement of Animals through Them,posters/slingsby.pdf,"Aidan Slingsby, Andy Paterson, Mark Rigby, Katherine Grace, Phong Nguyen, Charles Perin, Cagatay Turkay, Dalal Aljasem"
Towards a Visual Analytics Pipeline for the Analysis of Recurring Patterns in Time Series Data,posters/spechtenhauser.pdf,"Florian Spechtenhauser, Rastislav Hronsky, Torsten Möller, Harald Piringer"
Urban DataSphere: Exploring Immersive Multiview Visualizations in Cities,posters/spur.pdf,"Maxim Spur, Vincent Tourre"
Visual Analysis of Abnormal Thickness of Intraretinal Layers,posters/stuwe.pdf,"Jörg Stüwe, Martin Röhlig, Heidrun Schumann, Ruby Kala Prakasam, Oliver Stachs"
TopoLines: Topological Smoothing for Line Charts,posters/suh.pdf,"Ashley Suh, Christopher Salgado, Mustafa Hajij, Paul Rosen"
Road Accidents in the UK (Analysis and Visualization),posters/tyagi.pdf,"Anjul K. Tyagi, Ayush Kumar, Anshul Gandhi, Klaus Mueller"
PolyViz—A Visualization System for Special Kind of Multipartite Graphs,posters/uslu.pdf,"Tolga Uslu, Alexander Mehler"
Visualizing the Results of Product Costing Plausibility Checks with Parallel Hierarchies,posters/vosough.pdf,
Subspace Shapes: Enhancing High-Dimensional Subspace Structures via Ambient Occlusion Shading,posters/wang.pdf,"Bing Wang, Klaus Mueller"
Data Embroidery: Exploring Alternative Mediums for Personal Physicalization,posters/wannamaker.pdf,"Kendra Wannamaker, Lora Oehlberg, Sheelagh Carpendale, Wesley Willett"
Evaluation of Guide Wire Proficiency During a Catheter-based Intervention,posters/waschke.pdf,"Johannes Waschke, Katja Isabel Paul, Peter Lanzer, Mario Hlawitschka"
Manual and Automatic Tree Editing with Applications to Microbiome Time-series Data,posters/zeng.pdf,"Zehua Zeng, Niklas Elmqvist, Catherine Plaisant"
Increasing Understanding of Survey Re-Weighting with Visualization,posters/zhang.pdf,"Yufei Zhang, David Borland, David Gotz"
